bedrooms,bathrooms,car spaces,land size,price,date of sale
3,2,2,576,495000,2017-10-24
3,1,1,648,387000,2017-10-31
4,3,3,633,950000,2017-11-03
2,1,1,148,310000,2017-11-11
3,2,0,370,525000,2017-11-18
4,2,2,734,1100000,2017-11-24
4,3,0,901,1075000,2017-12-01
3,2,0,107,362000,2017-12-05
4,1,2,484,431000,2018-01-03
2,1,1,308,225000,2018-01-09
4,3,2,646,665000,2018-01-24
3,1,2,317,385000,2018-02-06
3,2,3,465,799000,2018-02-15
2,1,1,152,340000,2018-02-27
2,2,2,154,386000,2018-03-07
1,1,0,26,130000,2018-03-08
2,1,1,259,370000,2018-03-23
4,2,1,813,690000,2018-03-24
4,1,0,134,445000,2018-03-26
2,1,0,159,360900,2018-03-27
5,2,2,432,1005000,2018-03-28
5,2,1,313,475000,2018-03-29
3,2,0,627,695000,2018-04-03
2,1,1,117,445000,2018-04-10
4,2,2,1062,576000,2018-04-12
2,1,1,72,385000,2018-04-17
3,2,2,247,620000,2018-04-27
2,1,1,60,205000,2018-05-01
3,2,4,402,306000,2018-05-08
4,3,0,290,455000,2018-05-09
2,1,1,174,360000,2018-05-10
4,1,2,469,630000,2018-05-18
4,3,4,484,615000,2018-05-29
1,1,1,76,315500,2018-06-13
4,2,2,652,750000,2018-07-03
3,2,2,321,350000,2018-07-04
2,1,1,563,380000,2018-07-21
3,1,1,452,326000,2018-07-30
2,2,2,175,485000,2018-08-10
3,1,1,402,331500,2018-08-17
2,1,0,200,320000,2018-09-07
3,1,1,464,425000,2018-09-17
3,2,2,1063,610000,2018-09-28
4,2,2,197,760000,2018-09-29
3,1,1,259,405000,2018-10-05
3,3,2,142,555000,2018-10-19
2,4,0,449,1000000,2018-10-22
4,2,2,372,825000,2018-10-24
4,3,2,927,416000,2018-11-10
3,2,2,517,610000,2018-11-21
3,1,0,295,442500,2018-12-04
3,2,3,488,555000,2018-12-05
2,1,1,1429,452000,2018-12-13
3,2,3,652,420000,2018-12-18
4,2,1,238,725000,2019-01-24
2,2,1,407,430000,2019-01-25
3,1,1,213,625000,2019-01-26
3,1,2,176,440000,2019-01-27
3,1,2,581,440100,2019-01-29
3,1,2,414,510000,2019-02-06
3,2,2,1182,1350000,2019-02-07
4,2,2,580,440000,2019-02-16
3,1,1,1429,425000,2019-02-27
3,1,1,268,345000,2019-03-13
2,1,1,215,427000,2019-03-31
3,2,1,113,352000,2019-04-11
4,2,4,516,320000,2019-04-24
3,1,1,680,398000,2019-05-07
4,2,2,451,454000,2019-05-09
5,2,1,685,840000,2019-05-17
2,1,1,60,210000,2019-05-21
4,2,1,634,690000,2019-06-06
2,1,1,6444,300000,2019-07-08
3,2,0,355,310000,2019-08-08
3,1,2,264,367500,2019-08-14
2,1,3,616,340000,2019-09-04
4,2,1,747,475000,2019-09-06
4,2,0,739,920000,2019-10-04
2,1,0,66,325000,2019-10-18
3,1,1,540,320000,2019-11-15
2,1,1,186,472000,2019-11-21
3,1,1,153,302500,2019-11-22
4,2,0,1109,400000,2019-12-07
3,2,1,1012,462000,2019-12-14
4,2,1,181,700000,2020-01-20
4,3,2,526,535000,2020-02-07
3,1,1,587,420000,2020-02-11
2,2,0,92,398000,2020-02-12
3,1,4,374,645000,2020-02-24
1,1,2,600,700000,2020-03-31
4,2,3,279,1050000,2020-04-06
4,1,1,390,455000,2020-04-08
5,4,2,1105,830000,2020-04-23
2,1,0,170,305000,2020-04-30
4,1,2,970,521000,2020-06-03
3,1,1,156,421000,2020-07-07
2,1,3,263,330000,2020-07-27
5,4,2,1249,1405177,2020-08-31
3,1,1,517,387500,2020-09-11
3,2,1,387,690000,2020-09-19
3,2,1,417,567000,2020-09-24
6,5,3,572,1200000,2020-10-29
3,3,2,500,852000,2020-11-05
4,2,4,574,621478,2020-11-14
3,2,2,12410,890000,2020-11-20
3,2,0,556,485000,2020-11-23
2,1,0,751,392000,2020-11-24
5,2,1,407,670000,2020-11-30
3,2,2,453,630000,2020-12-09
3,1,1,389,570000,2020-12-14
2,1,1,157,480000,2020-12-22
2,1,0,136,380200,2021-02-03
3,2,0,577,901500,2021-02-04
1,1,1,796,850000,2021-02-05
4,2,5,844,850000,2021-02-17
3,2,2,212,700000,2021-02-19
3,2,0,251,720000,2021-03-09
3,2,1,260,507000,2021-03-10
5,2,2,1233,673000,2021-03-11
3,2,1,187,535000,2021-03-15
3,1,2,394,510000,2021-03-24
3,1,2,366,413000,2021-04-26
3,1,1,586,807000,2021-05-20
2,2,3,544,955000,2021-06-05
2,1,1,172,480000,2021-07-12
3,1,1,285,701000,2021-07-14
2,2,2,266,1000000,2021-07-19
2,2,0,523,550000,2021-07-23
3,1,0,763,690000,2021-07-27
3,2,2,149,860000,2021-09-14
3,1,3,496,465000,2021-10-16
2,1,2,273,640000,2021-10-21
3,1,3,558,650000,2021-10-22
3,2,1,156,675000,2021-11-02
2,1,1,244,781000,2021-11-30
3,2,2,275,1200000,2021-12-21
2,1,1,243,820000,2021-12-24
3,1,1,585,625000,2022-01-19
3,1,2,208,900000,2022-02-02
2,1,1,148,575000,2022-02-05
3,2,4,371,1225000,2022-02-22
3,1,1,500,455000,2022-03-03
2,1,1,374,857000,2022-04-07
5,2,4,731,1450000,2022-04-13
3,1,2,361,920000,2022-05-16
3,1,2,267,650000,2022-06-08
5,3,3,790,1100000,2022-06-17
4,2,2,486,1130000,2022-06-25
4,3,4,1171,950000,2022-06-27
4,1,2,644,770000,2022-07-02
2,1,1,100,470000,2022-07-05
3,2,1,132,540000,2022-07-15
3,1,0,143,665000,2022-07-30
4,2,4,580,770000,2022-08-09
