bedrooms,bathrooms,car spaces,land size,price,date of sale,tavg,tmin,tmax,avg_tavg_7_days,avg_tmin_7_days,avg_tmax_7_days,avg_tavg_30_days,avg_tmin_30_days,avg_tmax_30_days
3,2,1,971,295000,2010-08-25,5.0,3.9,11.5,7.6,4.6,13.5,7.6,4.0,13.7
3,1,1,571,295000,2013-02-13,19.2,16.5,26.6,18.0,13.9,25.8,16.9,12.4,24.9
2,1,1,118,295000,2016-02-08,21.3,18.6,29.9,20.1,16.3,28.0,19.0,14.8,26.7
3,1,2,151,295000,2017-08-24,5.7,-0.7,13.3,5.6,1.7,12.6,6.7,2.1,13.4
2,1,1,64,295000,2023-06-02,5.8,-0.2,12.8,10.7,6.7,15.4,9.2,3.7,15.4
1,1,1,120,299000,2017-07-07,5.0,1.8,9.9,4.8,-1.3,12.2,6.6,1.1,13.3
2,1,1,118,300000,2009-07-28,9.5,3.1,13.3,7.3,2.7,12.9,6.9,2.7,13.0
2,1,1,253,300000,2011-03-17,12.9,7.9,22.3,15.8,11.0,23.8,15.1,11.2,22.6
4,3,4,499,300000,2014-01-14,25.1,10.4,34.6,17.1,11.5,25.5,15.7,11.3,23.7
3,1,0,549,300000,2014-04-17,13.9,9.2,19.5,12.5,8.2,19.8,14.1,10.2,21.5
2,1,0,186,300000,2015-07-13,7.5,8.0,14.6,6.5,3.2,12.3,6.4,2.4,12.5
2,1,2,379,300000,2015-11-29,14.9,12.8,21.2,13.4,9.8,20.4,13.9,10.3,21.3
2,1,0,271,300000,2017-02-23,16.4,14.3,23.8,13.7,8.2,21.4,15.2,11.1,22.5
2,1,1,6444,300000,2019-07-08,7.7,2.4,14.4,8.1,3.5,13.5,7.5,2.3,13.6
3,1,1,153,302500,2019-11-22,14.7,6.4,22.3,14.2,7.9,21.4,13.5,7.9,19.6
3,1,1,412,304500,2017-06-05,7.4,5.4,14.5,6.8,0.9,14.9,8.8,4.4,15.9
3,2,1,558,305000,2014-11-13,16.2,7.6,22.3,13.3,8.1,21.5,11.8,7.5,19.5
3,1,2,1345,305000,2015-04-13,9.2,2.4,18.9,10.8,7.4,18.8,12.2,8.2,19.3
2,1,1,168,305000,2015-05-08,10.8,4.7,15.3,10.4,8.4,16.7,10.6,6.6,18.0
3,1,1,505,305000,2016-02-24,15.3,16.5,19.6,17.8,11.9,26.1,18.3,14.5,25.8
2,1,0,170,305000,2020-04-30,10.9,9.6,15.1,13.1,9.9,16.8,12.8,8.7,17.7
3,2,4,402,306000,2018-05-08,10.4,2.6,15.2,12.0,7.0,18.9,11.4,7.4,19.1
2,1,0,644,307000,2011-08-04,11.1,6.6,13.8,10.2,5.4,15.0,6.7,2.8,12.9
2,1,2,509,307500,2013-06-11,9.8,8.0,16.3,9.4,4.2,14.6,9.1,4.3,15.7
2,1,0,588,308000,2007-10-26,14.0,9.3,20.0,12.4,7.3,20.5,10.0,6.0,16.8
2,1,0,165,308000,2008-02-24,11.9,8.4,20.0,16.3,13.5,23.8,16.8,13.1,24.3
3,1,0,268,309000,2017-08-20,5.5,-2.0,13.0,6.5,1.8,13.3,6.7,2.0,13.4
2,1,0,263,310000,2011-06-03,8.9,7.7,15.2,5.9,0.1,14.5,7.4,2.6,15.0
3,1,0,465,310000,2013-11-01,13.0,7.6,21.9,11.1,5.8,19.2,10.8,7.7,17.6
3,1,1,352,310000,2015-09-28,10.4,9.2,16.5,8.9,3.8,17.1,9.0,4.4,16.7
3,2,0,174,310000,2016-02-23,21.6,14.2,30.9,16.6,10.9,24.5,18.2,14.5,25.8
2,1,1,148,310000,2017-11-11,15.1,11.3,24.6,12.0,5.2,20.4,12.3,7.5,20.7
3,2,0,355,310000,2019-08-08,4.6,-0.2,7.9,7.1,0.6,13.9,7.9,2.8,13.5
2,1,3,275,311000,2017-05-31,5.1,-1.5,13.4,8.0,4.6,14.9,9.1,5.0,16.0
2,1,1,142,313000,2017-01-18,13.5,11.3,22.4,15.9,12.8,22.7,17.7,13.7,24.7
3,2,0,227,315000,2011-10-02,7.0,2.3,17.3,9.6,5.7,17.5,9.2,5.2,16.6
2,1,1,457,315000,2014-10-30,12.6,9.2,18.3,12.3,9.4,19.4,11.1,7.4,18.6
1,1,1,76,315500,2018-06-13,7.9,7.0,13.4,8.5,2.7,15.2,7.8,2.4,15.3
4,1,1,422,317000,2016-02-05,20.2,16.2,27.2,19.3,16.3,26.6,18.9,14.4,26.7
4,3,2,266,318800,2011-05-05,5.1,0.4,13.9,10.0,6.7,17.6,11.3,7.9,18.3
3,1,1,188,320000,2008-04-22,12.4,9.3,19.1,12.3,8.6,20.6,12.7,9.2,19.7
3,2,2,248,320000,2015-03-07,15.7,7.9,22.9,14.3,10.2,21.2,17.3,13.6,25.1
3,2,2,455,320000,2016-11-23,9.0,11.8,15.9,15.2,11.3,22.3,12.4,9.0,19.5
2,1,0,200,320000,2018-09-07,10.4,5.8,16.2,9.3,3.3,15.0,8.5,3.1,13.8
4,2,4,516,320000,2019-04-24,12.6,6.4,17.6,14.0,7.9,20.9,13.4,6.9,20.1
3,1,1,540,320000,2019-11-15,13.5,11.2,18.3,11.9,7.3,17.7,12.8,7.2,18.7
3,1,1,350,322000,2011-02-23,15.1,8.8,24.4,15.2,12.6,22.9,16.0,12.3,23.4
3,1,0,195,324500,2016-06-08,11.4,9.4,15.8,9.5,4.5,15.2,9.1,5.5,15.4
4,2,2,587,325000,2006-05-03,4.5,8.3,10.2,10.1,7.0,15.8,9.7,5.6,16.5
3,1,1,429,325000,2009-06-02,10.1,2.8,16.1,7.7,4.3,14.3,9.4,5.3,16.6
3,1,0,490,325000,2010-01-28,17.6,12.0,25.1,17.4,12.3,25.4,17.7,12.6,25.7
3,1,1,402,325000,2014-05-16,14.3,13.0,19.1,11.4,5.3,17.3,9.6,4.3,16.7
4,2,1,385,325000,2016-03-16,14.8,9.5,22.4,16.9,15.6,24.3,17.1,13.6,24.4
2,1,0,66,325000,2019-10-18,10.2,6.1,13.8,11.2,5.8,17.9,11.2,5.3,18.2
3,1,0,601,325500,2016-09-07,12.7,4.3,18.7,9.7,6.1,16.9,8.0,4.2,14.7
3,1,2,517,326000,2013-08-06,5.7,3.9,13.4,6.6,2.7,12.7,7.5,2.8,13.2
2,1,1,1429,326000,2017-04-10,10.0,12.1,17.8,13.7,8.6,21.1,15.2,11.4,23.1
3,1,1,452,326000,2018-07-30,8.5,4.3,12.8,8.9,3.0,12.9,7.2,2.6,13.0
3,1,1,143,329000,2014-02-14,20.1,17.9,28.3,19.3,13.4,27.6,18.4,13.2,26.9
