bedrooms,bathrooms,car spaces,land size,price,date of sale,tavg,tmin,tmax,avg_tavg_7_days,avg_tmin_7_days,avg_tmax_7_days,avg_tavg_30_days,avg_tmin_30_days,avg_tmax_30_days
4,2,2,697,1153000,2022-10-11,12.1,7.2,19.0,10.9,5.2,16.7,10.5,5.1,16.7
3,4,1,687,1165000,2023-09-18,11.2,8.6,16.7,12.2,7.3,17.6,10.7,6.2,16.4
4,3,0,666,1200000,2011-05-18,10.3,6.7,14.9,7.4,1.3,14.7,9.1,4.9,16.4
5,3,2,597,1200000,2013-07-17,9.2,9.3,16.0,8.6,3.7,13.2,6.8,3.1,13.0
4,3,0,737,1200000,2014-07-03,9.9,0.3,14.9,6.5,2.7,12.5,7.6,2.9,13.7
6,5,3,572,1200000,2020-10-29,13.6,9.0,19.7,12.4,8.3,17.8,12.2,7.8,17.4
3,2,2,275,1200000,2021-12-21,17.3,13.2,23.8,17.5,12.3,24.2,16.3,10.6,23.1
3,2,4,371,1225000,2022-02-22,15.5,9.7,24.4,17.7,12.8,24.1,19.3,13.3,26.4
4,2,4,733,1275000,2023-08-03,12.2,3.3,14.8,10.4,6.9,14.0,9.3,5.8,13.8
1,1,1,690,1300000,2022-11-02,9.7,2.3,16.6,13.3,9.7,18.4,12.7,8.1,17.9
6,3,0,1704,1340000,2012-02-23,16.8,15.8,25.6,17.4,14.8,24.5,17.4,13.8,25.1
3,2,2,1182,1350000,2019-02-07,20.8,16.1,26.4,19.6,13.6,25.6,20.2,14.1,27.1
3,3,4,784,1350000,2024-06-07,7.8,1.2,12.8,9.5,4.9,14.9,9.8,4.8,15.9
4,3,2,492,1400000,2016-12-06,13.9,11.3,23.1,15.0,11.0,22.0,13.6,9.9,20.8
3,2,2,13000,1400000,2017-04-05,13.9,9.0,22.5,11.5,7.9,20.1,15.6,12.0,23.7
5,4,2,1249,1405177,2020-08-31,8.7,4.9,14.0,9.0,3.6,15.1,8.2,3.6,13.8
5,2,4,731,1450000,2022-04-13,12.9,4.7,23.4,14.3,7.6,22.3,16.1,10.7,22.9
